,rel_type,Location 1,longitude,latitude,type
316,Church,"1130 LEXINGTON ST Baltimore, MD ",0.0,0.0,religious
317,Church,"1142 FULTON AVE Baltimore, MD ",0.0,0.0,religious
318,Church,"1103 MONTPELIER ST Baltimore, MD ",-76.602419697,39.3239857273,religious
319,Church,"516 SCHROEDER ST Baltimore, MD ",0.0,0.0,religious
320,Church,"4303 PARK HEIGHTS AVE Baltimore, MD ",-76.6652586558,39.338622,religious
321,Church,"100 HILTON ST Baltimore, MD ",0.0,0.0,religious
322,Church,"454 CROSS ST Baltimore, MD ",-76.676574,39.2398222,religious
323,Church,"1800 WOLFE ST Baltimore, MD ",0.0,0.0,religious
324,Church,"24 NORTH AVE Baltimore, MD ",0.0,0.0,religious
325,Church,"5015 GWYNN OAK AVE Baltimore, MD ",-76.700357147,39.3301918,religious
326,Church,"2625 NORTHERN PKWY Baltimore, MD ",-76.6929928,39.3476974,religious
327,Church,"3200 DILLON ST Baltimore, MD ",-76.57106,39.281463,religious
